19-09-2017 02:24:15 | OVH Server list | IP: 213.251.182.111 ] | DNS: gw-cluster011.ovh.net | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.4 (KHTML, like Gecko) Chrome/5.0.375.99 Safari/533.4 | URL: / | Referer: sedesoft.com
2-10-2017 15:46:07 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

2-10-2017 16:10:35 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

2-10-2017 16:10:37 | Cookie protect | IP: 207.253.234.231 ] | DNS: 207.253.234.231 | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

3-10-2017 02:51:26 | Cookie protect | IP: 108.171.130.187 ] | DNS: egress228.cws.sco.cisco.com | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

3-10-2017 02:53:56 | Cookie protect | IP: 108.171.130.187 ] | DNS: egress228.cws.sco.cisco.com | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

3-10-2017 02:53:56 | Cookie protect | IP: 108.171.130.187 ] | DNS: egress228.cws.sco.cisco.com | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: / | Referer: no referer

3-10-2017 02:54:04 | Cookie protect | IP: 108.171.130.187 ] | DNS: egress228.cws.sco.cisco.com | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

3-10-2017 02:54:04 | Cookie protect | IP: 108.171.130.187 ] | DNS: egress228.cws.sco.cisco.com | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

3-10-2017 02:54:11 | Cookie protect | IP: 108.171.130.187 ] | DNS: egress228.cws.sco.cisco.com | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

6-10-2017 00:24:32 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

6-10-2017 00:24:37 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

6-10-2017 00:25:00 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: / | Referer: no referer

6-10-2017 00:25:03 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

6-10-2017 00:30:27 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: / | Referer: no referer

6-10-2017 00:30:27 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /favicon.ico | Referer: https://sedesoft.com/

6-10-2017 00:31:03 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: / | Referer: no referer

6-10-2017 00:31:06 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

6-10-2017 00:31:40 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: / | Referer: no referer

6-10-2017 00:31:43 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

6-10-2017 00:37:12 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: / | Referer: no referer

6-10-2017 00:37:15 | Cookie protect | IP: 184.150.236.59 ] | DNS: 2423ob.scansafe.net | Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36 | URL: /profile.php | Referer: https://sedesoft.com/

